Time,Altitude,Pitch,Q
133.05,52057,49.3,0.83
134.05,53138,48.84,0.74
135.05,54233,48.38,0.658
136.05,55345,47.92,0.583
137.05,56472,47.46,0.516
138.05,57614,47,0.456
139.05,58773,47.38,0.402
140.05,59946,47.39,0.349
141.05,61125,47.4,0.299
142.05,62307,47.41,0.257
143.05,63553,47.43,0.22
144.05,64737,47.44,0.185
145.05,65911,47.45,0.155
146.05,67077,47.46,0.131
147.05,68232,47.47,0.11
148.05,69378,47.49,0.092
149.05,70514,47.5,0.078
150.05,71641,47.51,0.066
151.05,72759,55.17,0.056
152.05,73868,63.22,0.047
153.05,74967,71.25,0.04
154.05,76057,79.19,0.034
155.05,77138,86.44,0.029
156.05,78209,83.75,0.025
157.05,79271,76,0.021
158.05,80324,68.01,0.018
159.05,81368,59.97,0.015
160.05,82505,51.1,0.013
161.05,83532,43.44,0.011
162.05,84557,35.37,0.009
163.05,85628,26.9,0.008
164.05,86646,19.23,0
165.05,87664,11.15,0
166.05,88678,3.08,0
167.05,89684,-5,0
168.05,90679,-5.21,0
169.05,91662,-5.22,0
170.05,92633,-5.23,0
171.05,93592,-5.24,0
172,94492,-5.25,0
173,95429,-5.26,0
174,96353,-5.27,0
175,97265,-5.28,0
176,98165,-5.29,0
177,99052,-5.29,0
178,99928,-5.3,0
179,100792,-5.31,0
180,101643,-5.32,0
181,102482,-5.32,0
182,103309,-5.33,0
183,104123,-5.34,0
184,104925,-5.34,0
185,105715,-5.35,0
186,106492,-5.36,0
187,107257,-5.36,0
188,108009,-5.37,0
189,108749,-5.37,0
190,109476,-5.38,0
191,110190,-5.38,0
192,110892,-5.38,0
193,111581,-5.39,0
194,112257,-5.39,0
195,112920,-5.39,0
196,113571,-5.4,0
197,114208,-5.4,0
198,114832,-5.4,0
199,115444,-5.4,0
200,116042,-5.4,0
201,116657,-5.41,0
202,117230,-5.41,0
203,117792,-5.41,0
204,118398,-5.41,0
205,118939,-5.41,0
206,119470,-5.41,0
207,119992,-5.41,0
208,120505,-5.41,0
209,121008,-5.41,0
210,121502,-5.41,0
211,121986,-4.34,0
212,122461,-3.15,0
213,122927,-1.96,0
214,123383,-0.77,0
215,123830,0.42,0
216,124267,1.61,0
217,124695,2.8,0
218,125113,3.99,0
219,125522,5.18,0
220,125922,6.37,0
221,126312,7.56,0
222,126693,8.75,0
223,127064,9.94,0
224,127426,11.13,0
225,127779,12.32,0
226,128122,13.52,0
227,128456,14.71,0
228,128780,15.9,0
229,129095,17.09,0
230,129401,18.28,0
231,129697,19.47,0
232,129984,20.66,0
233,130261,21.85,0
234,130529,23.04,0
235,130788,24.23,0
236,131037,25.42,0
237,131277,26.61,0
238,131507,27.8,0
239,131728,28.99,0
240,131940,30.18,0
241,132142,31.37,0
242,132335,32.56,0
243,132519,33.75,0
244,132693,34.94,0
245,132857,36.13,0
246,133013,37.32,0
247,133159,38.51,0
248,133295,39.69,0
249,133422,40.88,0
250,133540,42.07,0
251,133649,43.26,0
252,133748,44.45,0
253,133837,45.64,0
254,133917,46.83,0
255,133988,48.02,0
256,134050,49.21,0
257,134102,50.4,0
258,134144,51.59,0
259,134178,52.78,0
260,134202,53.96,0
261,134216,55.15,0
262,134221,56.34,0
263,134217,57.53,0
264,134203,58.72,0
265,134180,59.91,0
266,134148,61.09,0
267,134106,62.28,0
268,134055,63.47,0
269,133995,64.65,0
270,133925,65.84,0
271,133845,67.02,0
272,133757,68.21,0
273,133658,69.39,0
274,133551,70.58,0
275,133434,71.76,0
276,133308,72.94,0
277,133172,74.12,0
278,133027,75.3,0
279,132873,76.47,0
280,132709,77.65,0
281,132536,78.81,0
282,132353,79.98,0
283,132161,81.14,0
284,131960,82.28,0
285,131749,83.41,0
286,131529,84.52,0
287,131300,85.58,0
288,131061,86.55,0
289,130812,87.34,0
290,130555,87.74,0
291,130287,87.56,0
292,130011,86.9,0
293,129725,85.98,0
294,129430,84.95,0
295,129125,83.86,0
296,128811,82.74,0
297,128487,81.6,0
298,128155,80.45,0
299,127812,79.28,0
300,127461,78.12,0
301,127100,77.99,0
302,126729,77.99,0
303,126349,77.99,0
304,125960,77.99,0
305,125561,77.99,0
306,125153,77.99,0
307,124735,77.99,0
308,124308,77.99,0
309,123872,77.99,0
310,123426,77.99,0
311,122971,77.99,0
312,122506,77.99,0
313,122032,77.99,0
314,121549,77.99,0
315,121056,77.99,0
316,120554,77.99,0
317,120042,77.99,0
318,119521,77.99,0
319,118990,77.99,0
320,118450,77.99,0
321,117901,77.99,0
322,117342,77.99,0
323,116774,77.99,0
324,116196,77.99,0
325,115609,77.99,0
326,115012,77.99,0
327,114406,77.99,0
328,113791,77.99,0
329,113166,77.99,0
330,112532,77.99,0
331,111888,77.99,0
332,111234,77.99,0
333,110572,77.99,0
334,109900,77.99,0
335,109218,77.99,0
336,108527,77.99,0
337,107826,77.99,0
338,107116,77.99,0
339,106397,77.99,0
340,105668,77.99,0
341,104930,77.99,0
342,104182,77.99,0
343,103424,77.99,0
344,102658,77.99,0
345,101881,77.99,0
346,101095,77.99,0
347,100300,77.99,0
348,99496,77.99,0
349,98681,77.99,0
350,97858,77.99,0
351,97024,77.99,0
352,96182,77.99,0
353,95330,77.99,0
354,94468,77.99,0
355,93597,77.99,0
356,92716,77.99,0
357,91826,77.99,0
358,90926,77.99,0
359,90017,77.99,0
360,89098,77.99,0
361,88170,77.99,0
362,87232,77.99,0
363,86285,77.99,0
364,85328,77.99,0.004
365,84362,77.99,0.005
366,83386,77.99,0.006
367,82401,77.99,0.007
368,81406,77.99,0.008
369,80401,77.99,0.009
370,79388,77.99,0.01
371,78364,77.99,0.012
372,77331,77.99,0.015
373,76288,77.99,0.017
374,75236,77.99,0.02
375,74174,77.99,0.024
376,73103,77.99,0.028
377,72022,77.99,0.033
378,70932,77.99,0.04
379,69832,77.99,0.047
380,68723,77.99,0.056
381,67604,75.99,0.066
382,66475,76.11,0.079
383,65337,76.22,0.094
384,64189,76.33,0.113
385,63032,76.44,0.135
386,61865,76.55,0.161
387,60689,76.66,0.193
388,59503,76.76,0.232
389,58308,76.87,0.279
390,57103,76.97,0.335
391,55767,77.08,0.404
392,54548,77.18,0.491
393,53332,77.28,0.58
394,52118,77.38,0.685
395,50849,77.48,0.8
396,49664,77.58,0.902
397,48508,77.68,1.012
398,47379,77.78,1.127
399,46278,77.89,1.249
400,45207,78,1.374
401,44166,78.11,1.502
402,43154,78.22,1.63
403,42174,78.33,1.757
404,41224,78.45,1.878
405,40307,78.57,1.992
406,39422,78.7,2.095
407,38570,78.82,2.183
408,37752,78.95,2.253
409,36968,79.09,2.302
410,36179,79.23,2.404
411,35364,79.38,2.628
412,34623,75.02,2.999
413,33873,70.17,3.403
414,33116,65.33,3.863
415,32352,64.74,4.386
416,31581,64.08,4.98
417,30804,63.42,5.654
418,30021,62.76,6.418
419,29232,62.1,7.283
420,28439,61.44,8.26
421,27640,60.78,9.362
422,26839,60.12,10.602
423,26034,59.45,11.99
424,25228,58.79,13.54
425,24421,58.12,15.261
426,23614,57.46,17.162
427,22810,56.79,19.249
428,22009,56.12,21.522
429,21213,55.45,23.976
430,20425,54.78,26.599
431,19645,54.11,31.459
432,18878,53.44,34.901
433,18130,52.77,38.431
434,17406,52.1,41.922
435,16707,51.43,45.306
436,16031,50.76,48.514
437,15380,50.09,51.482
438,14753,49.42,54.148
439,14149,48.74,56.462
440,13570,48.07,59.925
441,13016,47.4,60.575
442,12486,46.72,60.92
443,11979,46.05,60.961
444,11495,45.38,60.712
445,11033,44.7,60.204
446,10591,44.03,59.483
447,10170,43.35,58.596
448,9767,42.68,57.584
449,9382,42,56.483
450,9014,41.33,55.324
451,8662,40.65,54.133
452,8325,39.98,52.933
453,8002,39.3,51.738
454,7692,38.63,50.562
455,7395,37.95,49.414
456,7110,37.27,48.3
457,6835,36.6,47.223
458,6571,35.92,46.187
459,6317,35.24,45.139
460,6073,34.57,43.714
461,5836,41.84,42.405
462,5600,43.03,41.274
463,5341,44.34,40.305
464,5108,45.51,38.446
465,4879,46.73,36.699
466,4653,47.97,34.981
467,4431,49.22,33.297
468,4213,50.49,31.648
469,3999,51.77,30.036
470,3789,53.06,28.463
471,3583,54.37,27.019
472,3382,55.67,25.609
473,3185,56.99,24.232
474,2992,58.3,22.891
475,2804,59.62,21.585
476,2621,60.94,20.315
477,2443,62.26,19.082
478,2269,63.57,17.886
479,2101,64.88,16.727
480,1938,66.18,15.606
481,1780,67.47,14.513
482,1628,68.74,13.438
483,1482,70.01,12.381
484,1341,71.26,11.345
485,1207,72.49,10.334
486,1079,73.71,9.35
487,957,74.91,8.395
488,842,76.09,7.473
489,734,77.26,6.587
490,632,78.4,5.74
491,538,79.52,4.936
492,451,80.61,4.179
493,371,81.68,3.471
494,299,82.73,2.817
495,235,83.75,2.221
496,178,84.73,1.686
497,129,85.69,1.218
498,89,86.61,0.819
499,56,87.49,0.494
500,32,88.32,0.247
501,16,89.1,0.083
502,8,89.72,0.022
503,3,89.89,0.013
503.35,2,89.91,0.007
